,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__reg_lambda,param_classifier__reg_alpha,param_classifier__n_estimators,param_classifier__min_child_weight,param_classifier__max_depth,param_classifier__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
283,52.83652416865031,0.6254135262061962,0.09541114171346028,0.0024875456223951986,0.4,0.015625,128,4751,4,6,0.25,"{'classifier__subsample': 0.4, 'classifier__reg_lambda': 0.015625, 'classifier__reg_alpha': 128, 'classifier__n_estimators': 4751, 'classifier__min_child_weight': 4, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.25}",0.9973211314422306,0.9709933030346645,0.9315351809727291,0.966616538483208,0.027034729155268507,324
284,142.7832307020823,7.762981243460138,0.5814452966054281,0.04280401947278586,0.5,0.0009765625,4,4001,64,6,0.125,"{'classifier__subsample': 0.5, 'classifier__reg_lambda': 0.0009765625, 'classifier__reg_alpha': 4, 'classifier__n_estimators': 4001, 'classifier__min_child_weight': 64, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.125}",0.9982612348104604,0.9743018584553281,0.9440900438460842,0.9722177123706243,0.022164344208683722,175
285,136.3126319249471,1.1985929813444378,0.4111177921295166,0.015454995547511815,0.5,0.015625,0.001953125,2001,2,9,0.00390625,"{'classifier__subsample': 0.5, 'classifier__reg_lambda': 0.015625, 'classifier__reg_alpha': 0.001953125, 'classifier__n_estimators': 2001, 'classifier__min_child_weight': 2, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.00390625}",0.9994115741896864,0.9766863645199475,0.9495030699685217,0.9752003362260518,0.020402138915094115,1
286,51.4226504166921,2.996437521113776,0.19115575154622397,0.009438275413259816,0.1,1,64,2001,64,15,0.0009765625,"{'classifier__subsample': 0.1, 'classifier__reg_lambda': 1, 'classifier__reg_alpha': 64, 'classifier__n_estimators': 2001, 'classifier__min_child_weight': 64, 'classifier__max_depth': 15, 'classifier__learning_rate': 0.0009765625}",0.9931223403918533,0.9596885101654551,0.8732020873584878,0.9420043126385987,0.050528967952540235,451
287,0.12466589609781902,1.1239159602905075e-07,0.019841909408569336,0.0013424236520927077,0.7,0.015625,0.001953125,1,32,9,0.001953125,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 0.015625, 'classifier__reg_alpha': 0.001953125, 'classifier__n_estimators': 1, 'classifier__min_child_weight': 32, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.001953125}",0.9976748157959946,0.9655302001707272,0.9270734439146908,0.9634261532938041,0.028861262248046315,360
288,92.3503475189209,0.9309323074696502,0.260636568069458,0.014619729667090174,0.3,0.0078125,0.00390625,2251,2,6,0.0009765625,"{'classifier__subsample': 0.3, 'classifier__reg_lambda': 0.0078125, 'classifier__reg_alpha': 0.00390625, 'classifier__n_estimators': 2251, 'classifier__min_child_weight': 2, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.0009765625}",0.9986080724489789,0.972831300544945,0.9374779232399131,0.9696390987446124,0.025058151033561876,276
289,44.415989796320595,2.227426219112387,0.1406240463256836,0.021219266508398487,0.4,1024,256,1501,32,10,0.0009765625,"{'classifier__subsample': 0.4, 'classifier__reg_lambda': 1024, 'classifier__reg_alpha': 256, 'classifier__n_estimators': 1501, 'classifier__min_child_weight': 32, 'classifier__max_depth': 10, 'classifier__learning_rate': 0.0009765625}",0.882031995086677,0.9607133595887312,0.8807827857792442,0.9078427134848841,0.03738867070430224,469
290,253.4966033299764,24.28945349038411,0.8604713280995687,0.05405327337731852,0.3,32,8,4001,8,15,0.001953125,"{'classifier__subsample': 0.3, 'classifier__reg_lambda': 32, 'classifier__reg_alpha': 8, 'classifier__n_estimators': 4001, 'classifier__min_child_weight': 8, 'classifier__max_depth': 15, 'classifier__learning_rate': 0.001953125}",0.9989922182466678,0.9741379265475267,0.9420218677148435,0.9717173375030127,0.02332094406924885,208
291,80.79784242312114,0.9923505527501545,0.3799840609232585,0.022136952131221046,0.5,0.0625,0.125,1001,4,14,0.015625,"{'classifier__subsample': 0.5, 'classifier__reg_lambda': 0.0625, 'classifier__reg_alpha': 0.125, 'classifier__n_estimators': 1001, 'classifier__min_child_weight': 4, 'classifier__max_depth': 14, 'classifier__learning_rate': 0.015625}",0.9993660349480814,0.9755439843270557,0.9456898300665563,0.9735332831138978,0.02195929464786019,83
292,13.430365324020386,0.49283422243070335,0.06116954485575358,0.012004689044470029,0.7,1024,0.0009765625,251,1,9,0.015625,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 1024, 'classifier__reg_alpha': 0.0009765625, 'classifier__n_estimators': 251, 'classifier__min_child_weight': 1, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.015625}",0.9949837454902094,0.970776453170831,0.9299505559451963,0.9652369182020789,0.026837085924169963,342
293,202.82511965433756,19.29013263402171,0.7509921391805013,0.047879003107250066,0.4,64,2,4751,64,11,0.00390625,"{'classifier__subsample': 0.4, 'classifier__reg_lambda': 64, 'classifier__reg_alpha': 2, 'classifier__n_estimators': 4751, 'classifier__min_child_weight': 64, 'classifier__max_depth': 11, 'classifier__learning_rate': 0.00390625}",0.9985110218701041,0.9732727351371038,0.9409184650146123,0.9709007406739399,0.023571811125271694,241
294,32.61746223767599,0.5726720145761288,0.08809789021809895,0.003290938323326635,1.0,8,1024,3501,1,6,0.03125,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 8, 'classifier__reg_alpha': 1024, 'classifier__n_estimators': 3501, 'classifier__min_child_weight': 1, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.03125}",0.9907650045281685,0.961727804639999,0.9043284269502253,0.9522737453727976,0.035915223451138054,424
295,262.0545171101888,6.1292521879294215,1.0878486633300781,0.1306949708330634,0.4,128,1,4251,1,9,0.125,"{'classifier__subsample': 0.4, 'classifier__reg_lambda': 128, 'classifier__reg_alpha': 1, 'classifier__n_estimators': 4251, 'classifier__min_child_weight': 1, 'classifier__max_depth': 9, 'classifier__learning_rate': 0.125}",0.9991890183838597,0.9750953568206746,0.9462793753747338,0.9735212501930893,0.0216289303109599,86
296,85.7245659828186,8.086814658584537,0.31116819381713867,0.008501658886723011,0.9,0.00390625,16,2001,128,10,0.015625,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 0.00390625, 'classifier__reg_alpha': 16, 'classifier__n_estimators': 2001, 'classifier__min_child_weight': 128, 'classifier__max_depth': 10, 'classifier__learning_rate': 0.015625}",0.9984478802387164,0.9741520521325252,0.9428365906771363,0.9718121743494593,0.0227634231858222,202
297,118.86955785751343,14.339079824160399,0.45145948727925617,0.061546669436165324,0.2,0.125,0.03125,4501,64,11,0.0625,"{'classifier__subsample': 0.2, 'classifier__reg_lambda': 0.125, 'classifier__reg_alpha': 0.03125, 'classifier__n_estimators': 4501, 'classifier__min_child_weight': 64, 'classifier__max_depth': 11, 'classifier__learning_rate': 0.0625}",0.9978543301234973,0.9741325365569737,0.9422526177982168,0.971413161492896,0.022780603649159663,217
